Number	Line1	Line2	Translation	mv	sp	mk	explanation	couplet	transliteration1	transliteration2
1008	நச்சப் படாதவன் செல்வம் நடுவூருள்	நச்சு மரம்பழுத் தற்று.	The idle wealth of unsought men Is poison-fruit-tree amidst a town	பிறர்க்கு உதவாத காரணத்தால் ஒருவராலும் விரும்பப்படாதவனுடைய செல்வம், ஊர் நடுவில் நச்சு மரம் பழுத்தாற் போன்றது.	எவராலும் விரும்பப்படாதவனின் செல்வம் ஊரின் நடுவே நின்ற நச்சு மரம் பழுத்தது போலாம்.	வெறுக்கப்படுகிறவரிடம் குவிந்துள்ள செல்வமும், ஊர் நடுவே நச்சு மரத்தில் காய்த்துக் குலுங்குகின்ற பழமும் வெவ்வேறானவையல்ல!	The wealth of him who is disliked (by all) is like the fruit-bearing of the etty tree in the midst of a town	When he whom no man loves exults in great prosperity,'Tis as when fruits in midmost of the town some poisonous tree	Nachchap Pataadhavan Selvam Natuvoorul	Nachchu Marampazhuth Thatru
1009	அன்பொரீஇத் தற்செற்று அறநோக்காது ஈட்டிய	ஒண்பொருள் கொள்வார் பிறர்.	Others usurp the shining gold In loveless, stingy, vicious hold	பிறரிடம் செலுத்தும் அன்பையும் விட்டுத் தன்னையும் வருத்தி அறத்தையும் போற்றாமல் சேர்த்து வைத்தப் பெரும் பொருளைப் பெற்று நுகர்பவர் மற்றவரே.	பிறர்க்கு ஈயாமல் அன்பை விட்டு விலகி, எதையும் அனுபவிக்காமல் தன்னை வருத்தி, அறத்தை எண்ணாது சேர்த்த பொருளை மற்றவர் அனுபவிப்பர்.	அன்பெனும் பண்பை அறவே நீக்கி, தன்னையும் வருத்திக் கொண்டு, அறவழிக்குப் புறம்பாகச் சேர்த்துக் குவித்திடும் செல்வத்தைப் பிறர் கொள்ளை கொண்டு போய் விடுவர்	To heap up glittering wealth, their hoards shall others take	Who love abandon, self-afflict, and virtue's way forsakeTo heap up glittering wealth, their hoards shall others take	Anporeeith Tharsetru Aranokkaadhu Eettiya	Onporul Kolvaar Pirar
1010	சீருடைச் செல்வர் சிறுதுனி மார஧	வறங்கூர்ந் தனையது உடைத்து.	The brief want of the rich benign Is like rainclouds growing thin	புகழ் பொருந்திய செல்வர் உற்ற சிறிய வறுமை உலகத்தைக் காக்க வல்ல மேகம் வறுமை மிகுந்தாற் போன்ற தன்மை உடையது.	பிறர்க்குக் கொடுத்துப் புகழ்மிக்கவர் ஆகிய செல்வர்கள் சிறிது காலம் வறுமைப்பட நேர்ந்தால், அது மழை தரம் மேகமே வறுமைப்பட்டது போலாம்.	சிறந்த உள்ளம் கொண்ட செல்வர்களுக்கேற்படும் சிறிதளவு வறுமையின் நிழல்கூட, மழை பொய்த்து விட்டதற்கு ஒப்பானதாகும்	The short-lived poverty of those who are noble and rich is like the clouds becoming poor (for a while)	Tis as when rain cloud in the heaven grows day,When generous wealthy man endures brief poverty	Seerutaich Chelvar Sirudhuni Maari	Varangoorn Thanaiyadhu Utaiththu
1011	கருமத்தால் நாணுதல் நாணுந் திருநுதல்	நல்லவர் நாணுப் பிற.	To shrink from evil deed is shame The rest is blush of fair-faced dame	தகாத செயல் காரணமாக நாணுவதே நாணமாகும், பெண்களுக்கு இயல்பான மற்ற நாணங்கள் வேறு வகையானவை.	இழிவான செயல்களுக்கு வெட்கப்படுவதே அனைவர்க்கும் பொதுவான நாணம்; மற்றொன்று அழகிய நெற்றி கொண்ட பெண்களின் இயல்பான வெட்கம் ஆகும்.	ஒருவர் தமது தகாத நடத்தையின் காரணமாக நாணுவதற்கும், நல்ல பெண்களுக்கு இயல்பாக ஏற்படும் நாணத்துக்கும் மிகுந்த வேறுபாடு உண்டு	True modesty is the fear of (evil) deeds; all other modesty is (simply) the bashfulness of virtuous maids	To shrink abashed from evil deed is 'generous shame';Other is that of bright-browed one of virtuous fame	Karumaththaal Naanudhal Naanun Thirunudhal	Nallavar Naanup Pira
1012	ஊணுடை எச்சம் உயிர்க்கெல்லாம் வேறல்ல	நாணுடைமை மாந்தர் சிறப்பு.	Food, dress and such are one for all Modesty marks the higher soul	உணவும், உடையும் எஞ்சி நிற்கும் மற்றவையும், எல்லா உயிர்களுக்கும் பொதுவானவை, மக்களின் சிறப்பியல்பாக விளங்குவது நாணுடைமையே ஆகும்.	உணவு, உடை இன்னும் பிற சிறப்புகள், எல்லா மனிதர்க்கும் ஒன்றே; நல்ல மனிதர்க்குச் சிறப்பாவது நாண் உடைமையே.	உணவு, உடை போன்ற அனைத்தும் எல்லோருக்கும் பொதுவான தேவைகளாக அமைகின்றன; ஆனால் சிறப்புக்குரிய தேவையாக இருப்பது, பிறரால் பழிக்கப்படும் செயல்களைத் தவிர்த்து வாழும் நாணுடைமைதான்	Food, clothing and the like are common to all men but modesty is peculiar to the good	Food, clothing, and other things alike all beings own;By sense of shame the excellence of men is known	Oonutai Echcham Uyirkkellaam Veralla	Naanutaimai Maandhar Sirappu
1013	ஊனைக் குறித்த உயிரெல்லாம் நாண்என்னும்	நன்மை குறித்தது சால்பு.	All lives have their lodge in flesh Perfection has its home in blush	எல்லா உயிர்களும் ஊனாலாகிய உடம்பை இருப்பிடமாகக் கொண்டவை, சால்பு என்பது நாணம் என்று சொல்லப்படும் நல்லப் பண்பை இருப்பிடமாகக் கொண்டது.	எல்லா உயிர்களும் உடம்பை இடமாகக் கொண்டுள்ளன; அதுபோல், சான்றாண்மையும், நாணம் என்னும் நல்ல குணத்தை இடமாகக் கொண்டுள்ளது.	உடலுடன் இணைந்தே உயிர் இருப்பது போல், மாண்பு என்பது நாண உணர்வுடன் இணைந்து இருப்பதேயாகும்	As the body is the abode of the spirit, so the excellence of modesty is the abode of perfection	All spirits homes of flesh as habitation claim,And perfect virtue ever dwells with shame	Oonaik Kuriththa Uyirellaam Naanennum	Nanmai Kuriththadhu Saalpu
1014	அணிஅன்றோ நாணுடைமை சான்றோர்க்கு அஃதின்றேல்	பிணிஅன்றோ பீடு நடை.	Shame is the jewel of dignity Shameless swagger is vanity	சான்றோர்க்கு நாணுடைமை அணிகலம் அன்றோ, அந்த அணிகலம் இல்லையானால் பெருமிதமாக நடக்கும் நடை ஒரு நோய் அன்றோ.	நாணம்‌ இருப்பது சான்றோர்க்கு ஆபரணம்; அது மட்டும் இல்‌லை என்றால் அவர்கள் நடக்கும் பெருமித நடை பார்ப்பவர்க்கு நோயாம்.	நடந்த தவறு காரணமாகத் தமக்குள் வருந்துகிற நாணம் எனும் உணர்வு, பெரியவர்களுக்கு அணிகலன் ஆக விளங்கும் அந்த அணிகலன் இல்லாமல் என்னதான் பெருமிதமாக நடைபோட்டாலும், அந்த நடையை ஒரு நோய்க்கு ஒப்பானதாகவே கருத முடியும்	Is not the modesty ornament of the noble ? Without it, their haughtiness would be a pain (to others)	And is not shame an ornament to men of dignity?Without it step of stately pride is piteous thing to see	Aniandro Naanutaimai Saandrorkku Aqdhindrel	Piniandro Peetu Natai
1015	பிறர்பழியும் தம்பழியும் நாணுவார் நாணுக்கு	உறைபதி என்னும் உலகு.	In them resides the sense of shame Who blush for their and other's blame	பிறர்க்கு வரும் பழிக்காகவும், தமக்கு வரும் பழிக்காகவும் நாணுகின்றவர் நாணத்திற்கு உறைவிட மானவர் என்று உலகம் சொல்லும்.	தமக்கு வரும் பழிக்கு மட்டும் அன்றி, பிறர்க்கு வரும் பழிக்கும் வெட்கப்படுவோர், நாணம் வாழும் இடம் என்று உலகத்தவர் கூறுவர்.	தமக்கு வரும் பழிக்காக மட்டுமின்றிப் பிறர்க்கு வரும் பழிக்காகவும் வருந்தி நாணுகின்றவர், நாணம் எனும் பண்பிற்கான உறைவிடமாவார்	The world regards as the abode of modesty him who fear his own and other's guilt	As home of virtuous shame by all the world the men are known,Who feel ashamed for others, guilt as for their own	Pirarpazhiyum Thampazhiyum Naanuvaar Naanukku	Uraipadhi Ennum Ulaku
1016	நாண்வேலி கொள்ளாது மன்னோ வியன்ஞாலம்	பேணலர் மேலா யவர்.	The great refuse the wonder-world Without modesty's hedge and shield	நாணமாகிய வேலியை தமக்கு காவலாகச் செய்து கொள்ளாமல், மேலோர் பரந்த உலகில் வாழும் வாழ்க்கை விரும்பி மேற்கொள்ள மாட்டார்.	பெரியவர்கள் தனக்குப் பாதுகாப்பாக நாணத்தைக் கொள்வாரே அல்லாமல், இந்தப் பெரிய உலகத்தைக் கொள்ள விரும்ப மாட்டார்கள்.	பரந்த இந்த உலகில் பாதுகாப்பையும்விட, நாணம் எனும் வேலியைத்தான் உயர்ந்த மனிதர்கள், தங்களின் பாதுகாப்பாகக் கொள்வார்கள்	The great make modesty their barrier (of defence) and not the wide world	Unless the hedge of shame inviolate remain,For men of lofty soul the earth's vast realms no charms retain	Naanveli Kollaadhu Manno Viyangnaalam	Penalar Melaa Yavar
1017	நாணால் உயிரைத் துறப்பர் உயிர்ப்பொருட்டால்	நாண்துறவார் நாணாள் பவர்.	For shame their life the shame-sensed give Loss of shame they won't outlive	நாணத்தை தமக்கரிய பண்பாகக் கொள்பவர் நாணத்தால் உயிரை விடுவர், உயிரைக் காக்கும் பொருட்டாக நாணத்தை விட மாட்டார்.	நாணத்தின் சிறப்பை அறிந்து அதன் வழி நடப்பவர் நாணமா, உயிரா,என்ற நெருக்கடி வரும்போது உயிரையே விடுவர்; உயிரைக் காக்க நாணத்தை விடமாட்டார்‌.	நாண உணர்வுடையவர்கள், மானத்தைக் காப்பாற்றிக் கொள்ள உயிரையும் விடுவார்கள் உயிரைக் காப்பாற்றிக் கொள்வதற்காக மானத்தை விடமாட்டார்கள்	The modest would rather lose their life for the sake of modesty than lose modesty for the sake of life	The men of modest soul for shame would life an offering make,But ne'er abandon virtuous shame for life's dear sake	Naanaal Uyiraith Thurappar Uyirpporuttaal	Naandhuravaar Naanaal Pavar
1018	பிறர்நாணத் தக்கது தான்நாணா னாயின்	அறம்நாணத் தக்கது உடைத்து.	Virtue is much ashamed of him Who shameless does what others shame	ஒருவன் மற்றவர் நாணத்தக்க பழிக்குக் காரணமாக இருந்தும் தான் நாணாமலிருப்பானானால், அறம் நாணி அவனைக் கைவிடும் தன்மையுடையதாகும்.	மற்றவர் வெட்கப்படும் ஒன்றிற்கு ஒருவன் வெட்கப்படாமல் அதைச் செய்வான் என்றால், அறம் வெட்கப்படும் குற்றம் அவனிடம் இருக்கிறது.	வெட்கப்படவேண்டிய அளவுக்குப் பழிக்கு ஆளானவர்கள் அதற்காக வெட்கப்படாமல் இருந்தால் அவர்களை விட்டு அறநெறி வெட்கப்பட்டு அகன்று விட்டதாகக் கருத வேண்டும்	Virtue is likely to forsake him who shamelessly does what others are ashamed of	Though know'st no shame, while all around asha med must be:Virtue will shrink away ashamed of thee	Pirarnaanath Thakkadhu Thaannaanaa Naayin	Aramnaanath Thakkadhu Utaiththu
1019	குலஞ்சுடும் கொள்கை பிழைப்பின் நலஞ்சுடும்	நாணின்மை நின்றக் கடை.	Lapse in manners injures the race Want of shame harms every good grace	ஒருவன் கொள்கை தவறினால் , அத் தவறு அவனுடையக் குடிப் பிறப்பைத் கெடுக்கும், நாணில்லாத தன்மை நிலைப் பெற்றால் நன்மை எல்லாவற்றையும் கெடுக்கும்.	ஒருவன் ஒழுக்கம் கெட்டால் அவன் குடும்பப் பிறப்பு கெடும்; அவனே நாணம் இல்லாது நின்றால் அவன் நலம் எல்லாம் கெடும்.	கொண்ட கொள்கையில் தவறினால் குலத்துக்கு இழுக்கு நேரும் அதற்கு நாணாமல் பிறர் பழிக்கும் செயல் புரிந்தால் நலமனைத்தும் கெடும்	Want of manners injures one's family; but want of modesty injures one's character	Twill race consume if right observance fail;'Twill every good consume if shamelessness prevail	Kulanjutum Kolkai Pizhaippin Nalanjutum	Naaninmai Nindrak Katai
1020	நாண்அகத் தில்லார் இயக்கம் மரப்பாவை	நாணால் உயிர்மருட்டி அற்று.	Movements of the shameless in heart Are string-led puppet show in fact	மனத்தில் நாணம் இல்லாதவர் உலகத்தில் இயங்குதல், மரத்தால் செய்த பாவையைக் கயிறு கொண்டு ஆட்டி உயிருள்ளதாக மயக்கினாற் போன்றது.	மனத்துள் வெட்கம் இல்லாதவர்களின் நடமாட்டம், மரத்தால் செய்த பொம்மைக்கு உயிர் ஊட்டியிருப்பதாகக் காட்டி மயக்கியது போலாம்.	உயிர் இருப்பது போலக் கயிறுகொண்டு ஆட்டி வைக்கப்படும் மரப்பொம்மைக்கும், மனத்தில் நாணமெனும் ஓர் உணர்வு இல்லாமல் உலகில் நடமாடுபவருக்கும் வேறுபாடு இல்லை	The actions of those who are without modesty at heart are like those of puppet moved by a string	Tis as with strings a wooden puppet apes life's functions, whenThose void of shame within hold intercourse with men	Naanakath Thillaar Iyakkam Marappaavai	Naanaal Uyirmarutti Atru
1021	கருமம் செயஒருவன் கைதூவேன் என்னும்	பெருமையின் பீடுடையது இல்.	No greatness is grander like Saying \I shall work without slack\	குடிப் பெருமைக்கு உரிய கடமையைச் செய்வதற்குச் சோர்வடைய மாட்டேன் என்று ஒருவன் முயலும் பெருமையைப் போல மேம்பாடானது வேறொன்றும் இல்லை.	வீட்டையும் நாட்டையும் மேன்மை அடையச் செயல் செய்யாமல் விடமாட்டேன் என மன உறுதிகொள்ளும் பெருமையைக் காட்டிலும் மேலான பெருமை வேறு இல்லை.	உரிய கடமையைச் செய்வதில் சோர்வு காணாமல் எவனொருவன் முயற்சிகளை விடாமல் மேற்கொள்கிறானோ அந்தப் பெருமைக்கு மேலாக வேறொரு பெருமை கிடையாது	There is no higher greatness than that of one saying I will not cease in my effort (to raise my family)	Who says 'I'll do my work, nor slack my hand',His greatness, clothed with dignity supreme, shall stand	Karumam Seyaoruvan Kaidhooven Ennum	Perumaiyin Peetutaiyadhu Il
1022	ஆள்வினையும் ஆன்ற அறிவும் எனஇரண்டின்	நீள்வினையால் நீளும் குடி.	These two exalt a noble home Ardent effort and ripe wisdom	முயற்சி நிறைந்த அறிவு என்று சொல்லப்படும் இரண்டினையும் உடைய இடைவிடாத செயலால் ஒருவனுடைய குடி உயர்ந்து விளங்கும்.	முயற்சி, நிறைந்த அறிவு என்னும் இரண்டுடன் இடைவிடாத செயல் செய்யக் குடும்பமும் நாடும் உயரும்.	ஆழ்ந்த அறிவும், விடாமுயற்சியும் கொண்டு ஒருவன் அயராது பாடுபட்டால், அவனைச் சேர்ந்துள்ள குடிமக்களின் பெருமை உயரும்	One's family is raised by untiring perseverance in both effort and wise contrivances	The manly act and knowledge full, when these combineIn deed prolonged, then lengthens out the race's line	Aalvinaiyum Aandra Arivum Enairantin	Neelvinaiyaal Neelum Kuti
1023	குடிசெய்வல் என்னும் ஒருவற்குத் தெய்வம்	மடிதற்றுத் தான்முந் துறும்.	When one resolves to raise his race Loin girt up God leads his ways	என் குடியை உயரச் செய்வேன் என்று முயலும் ஒருவனுக்கு ஊழ், ஆடையைக் கட்டிக் கொண்டு தானே முன் வந்து துணை செய்யும்.	என் குடியையும் நாட்டையும் மேனமை அடையச் செய்வேன் என்று செயல் செய்யும் ஒருவனுக்கு தெய்வம் தன் ஆடையை இறுக உடுத்திக்கொண்டு உதவ முன்வந்து நிற்கும்.	தன்னைச் சேர்ந்த குடிமக்களை உயர்வடையச் செய்திட ஓயாது உழைப்பவனுக்குத் தெய்வச் செயல் எனக்கூறப்படும் இயற்கையின் ஆற்றல் கூட வரிந்து கட்டிக்கொண்டு வந்து துணைபுரியும்	The Deity will clothe itself and appear before him who resolves on raising his family	I'll make my race renowned,' if man shall say,With vest succinct the goddess leads the way	Kutiseyval Ennum Oruvarkuth Theyvam	Matidhatruth Thaanmun Thurum
1024	சூழாமல் தானே முடிவெய்தும் தம்குடியைத்	தாழாது உஞற்று பவர்க்கு.	Who raise their races with ceaseless pain No need for plan; their ends will gain	தம் குடி உயர்வதற்கான செயலை விரைந்து முயன்று செய்வோர்க்கு அவர் ஆராயமலே அச் செயல் தானே நிறைவேறும்.	தன் வீட்டிற்கும் நாட்டிற்கும் ஆக வேண்டிய செயலை விரைந்து செய்பவருக்கு அச்செயலைச் செய்து முடிக்கும் திறம் அவர் நினைக்காமலே கிடைக்கும்.	தம்மைச் சார்ந்த குடிகளை உயர்த்தும் செயல்களில் காலம் தாழ்த்தாமல் ஈடுபட்டு முயலுகிறவர்களுக்குத் தாமாகவே வெற்றிகள் வந்து குவிந்துவிடும்	Those who are prompt in their efforts (to better their family) need no deliberation, such efforts will of themselves succeed	Who labours for his race with unremitting pain,Without a thought spontaneously, his end will gain	Soozhaamal Thaane Mutiveydhum Thamkutiyaith	Thaazhaadhu Ugnatru Pavarkku
1025	குற்றம் இலனாய்க் குடிசெய்து வாழ்வானைச்	சுற்றமாச் சுற்றும் உலகு.	Who keeps his house without a blame People around, his kinship claim	குற்றம் இல்லாதவனாய்க் குடி உயர்வதற்கான செயல் செய்து வாழ்கின்றவனை உலகத்தார் சுற்றமாக விரும்பிச் சூழ்ந்து கொள்வர்.	தவறானவற்றைச் செய்யாமல் தன் வீட்டையும் நாட்டையும் மேன்மை அடையச் செய்து வாழ்பவனை உயர்ந்தோர் தம் சுற்றமாக ஏற்பர்.	குற்றமற்றவனாகவும், குடிமக்களின் நலத்திற்குப் பாடுபடுபவனாகவும் இருப்பவனைத் தமது உறவினனாகக் கருதி, மக்கள் சூழ்ந்து கொள்வார்கள்	People will eagerly seek the friendship of the prosperous soul who has raised his family without foul means	With blameless life who seeks to build his race's fame,The world shall circle him, and kindred claim	Kutram Ilanaaik Kutiseydhu Vaazhvaanaich	Chutramaach Chutrum Ulaku
1026	நல்லாண்மை என்பது ஒருவற்குத் தான்பிறந்த	இல்லாண்மை ஆக்கிக் கொளல்.	Who raise their race which gave them birth Are deemed as men of manly worth	ஒருவனுக்கு நல்ல ஆண்மை என்று சொல்லப்படுவது தான் பிறந்த குடியை ஆளும் சிறப்பைத் தனக்கு உண்டாக்கி கொள்வதாகும்.	ஒருவனுக்கு நல்ல ஆண்மை என்பது அவன் பிறந்த வீட்டையும் நாட்டையும் ஆளும் தன்மையைத் தனக்கு உரியதாக ஆக்கிக் கொள்வதோ.	நல்ல முறையில் ஆளும் திறமை பெற்றவர், தான் பிறந்த குடிக்கே பெருமை சேர்ப்பவராவார்	A man's true manliness consists in making himself the head and benefactor of his family	Of virtuous manliness the world accords the praiseTo him who gives his powers, the house from which he sprang to raise	Nallaanmai Enpadhu Oruvarkuth Thaanpirandha	Illaanmai Aakkik Kolal
1027	அமரகத்து வன்கண்ணர் போலத் தமரகத்தும்	ஆற்றுவார் மேற்றே பொறை.	Like dauntless heroes in battle field The home-burden rests on the bold	போர்க்களத்தில் பலரிடையே பொறுப்பை ஏற்றுக் கொள்ளும் அஞ்சாத வீரரைப் போல் குடியில் பிறந்தவரிடையிலும் தாங்க வல்லவர் மேல் தான் பொறுப்பு உள்ளது.	போர்க்களத்திலே எதிர்த்து நின்று சண்டை செய்வது அஞ்சாத வீரர்க்கே ஆவது போல, ஒரு குடும்பத்திலும் நாட்டிலும் அவற்றை உயரச் செய்பவரே, அவற்றின் சுமையைத் தாங்கவும் முடியும்.	போர்க்களத்தில் எதிர்ப்புகளைத் தாங்கிப் படை நடத்தும் பொறுப்பு அதற்கான ஆற்றல் படைத்தவர்களிடம் இருப்பது போலத்தான் குடிமக்களைக் காப்பாற்றி உயர்வடையச் செய்யும் பொறுப்பும் அவர்களைச் சேர்ந்த ஆற்றலாளர்களுக்கே உண்டு	Amid his kindred so the burthen rests upon the strong	The fearless hero bears the brunt amid the warrior throng;Amid his kindred so the burthen rests upon the strong	Amarakaththu Vankannar Polath Thamarakaththum	Aatruvaar Metre Porai
1028	குடிசெய்வார்க் கில்லை பருவம் மடிசெய்து	மானங் கருதக் கெடும்.	No season have they who raise their race Sloth and pride will honour efface	குடி உயர்வதற்கான செயல் செய்கின்றவர்க்கு உரிய காலம் என்று ஒன்று இல்லை, சோம்பல் கொண்டு தம் மானத்தைக் கருதுவாரானால் குடிப்பெருமைக் கெடும்.	தன் வீட்டையும் நாட்டையும் மேன்மை அடையச் செய்ய ஆசைப்படுவர் சோம்பி, தம் பெருமையை எண்ணி இருந்தால் எல்லாம் கெட்டுப் போகும். அதனால் அவர்க்குக் கால நேரம் என்று இல்லை.	தன்மீது நடத்தப்படும் இழிவான தாக்குதலைக் கண்டு கலங்கினாலோ, பணியாற்றக் காலம் வரட்டும் என்று சோர்வுடன் தயக்கம் காட்டினாலோ குடிமக்களின் நலன் சீர்குலைத்துவிடும்	As a family suffers by (one's) indolence and false dignity there is to be so season (good or bad) to those who strive to raise their family	Wait for no season, when you would your house uprear;'Twill perish, if you wait supine, or hold your honour dear	Kutiseyvaark Killai Paruvam Matiseydhu	Maanang Karudhak Ketum
1029	இடும்பைக்கே கொள்கலம் கொல்லோ குடும்பத்தைக்	குற்ற மறைப்பான் உடம்பு.	Is not his frame a vase for woes Who from mishaps shields his house?	தன் குடிக்கு வரக்குடிய குற்றத்தை வராமல் நீக்க முயல்கின்ற ஒருவனுடைய உடம்பு துன்பத்திற்கே இருப்பிடமானதோ.	தன்னால், விலங்குளால், பருவ மாற்றங்களால் துன்பப்படும் வீட்டையும், நாட்டையும் அத்துன்பங்களில் இருந்து காக்க முயல்பவனின் உடம்பு, துன்பத்திற்கு மட்டுமே கொள்கலமோ? இன்பத்திற்கும் இல்லையோ?	தன்னைச் சார்ந்துள்ள குடிகளுக்குத் துன்பம் வராமல் தடுத்துத் தொடர்ந்து அக்குடிகளைக் காப்பாற்ற முயலுகிற ஒருவன், துன்பத்தைத் தாங்கி கொள்ளவே பிறந்தவனாகப் போற்றப்படுவான்	Is it only to suffering that his body is exposed who undertakes to preserve his family from evil ?	Is not his body vase that various sorrows fill,Who would his household screen from every ill	Itumpaikke Kolkalam Kollo Kutumpaththaik	Kutra Maraippaan Utampu
1030	இடுக்கண்கால் கொன்றிட வீழும் அடுத்தூன்றும்	நல்லாள் இலாத குடி.	A house will fall by a mishap With no good man to prop it up	துன்பம் வந்த போது உடனிருந்து தாங்க வல்ல நல்ல ஆள் இல்லாத குடி, துன்பமாகிய கோடாரி அடியில் வெட்டி வீழ்த்த விழுந்துவிடும்.	துன்பம் வரும் போது முட்டுக் கொடுத்துத் தாங்கும் நல்ல பிள்ளைகள் இல்லாத வீடும், நாடும் துன்பமாகிய கோடாரி அடிப்பகுதியை வெட்டச் சாயும் மரம் போல் விழுந்து விடும்.	வரும் துன்பத்தை எதிர் நின்று தாங்கக் கூடிய ஆற்றலுடையவர் இல்லாத குடியை அத்துன்பம், வென்று வீழ்த்திவிடும்	If there are none to prop up and maintain a family (in distress), it will fall at the stroke of the axe of misfortune	When trouble the foundation saps the house must fall,If no strong hand be nigh to prop the tottering wall	Itukkankaal Kondrita Veezhum Atuththoondrum	Nallaal Ilaadha Kuti
1031	சுழன்றும்ஏர்ப் பின்னது உலகம் அதனால்	உழந்தும் உழவே தலை.	Farming though hard is foremost trade Men ply at will but ploughmen lead	உலகம் பல தொழில் செய்து சுழன்றாலும் ஏர்த் தொழிலின் பின் நிற்கின்றது, அதனால் எவ்வளவு துன்புற்றாலும் உழவுத் தொழிலே சிறந்தது.	உழவுத் தொழிலில் இருக்கும் நெருக்கடிகளை எண்ணி, வேறு வேறு தொழிலுக்குச் சென்றாலும் உலகம் ஏரின் பின்தான் இயங்குகிறது. அதனால் எத்தனை வருத்தம் இருந்தாலும் உழவுத் தொழிலே முதன்மையானது.	பல தொழில்களைச் செய்து சுழன்று கொண்டிருக்கும் இந்த உலகம், ஏர்த்தொழிலின் பின்னேதான் சுற்ற வேண்டியிருக்கிறது எனவே எவ்வளவுதான் துன்பம் இருப்பினும் உழவுத் தொழிலே சிறந்தது	Agriculture, though laborious, is the most excellent (form of labour); for people, though they go about (in search of various employments), have at last to resort to the farmer	Howe'er they roam, the world must follow still the plougher's team;Though toilsome, culture of the ground as noblest toil esteem	Suzhandrumerp Pinnadhu Ulakam Adhanaal	Uzhandhum Uzhave Thalai
1032	உழுவார் உலகத்தார்க்கு ஆணிஅஃ தாற்றாது	எழுவாரை எல்லாம் பொறுத்து.	Tillers are linch-pin of mankind Bearing the rest who cannot tend	உழவு செய்ய முடியாமல் உயிர் வாழ்கின்றவர், எல்லாரையும் தாங்குவதால், உழவு செய்கின்றவர் உலகத்தாற்கு அச்சாணி போன்றவர்.	உழவுத் தொழிலைச் செய்ய முடியாமல் பிற தொழிலைச் செய்யச் செல்வோர் எல்லாரையும், உழவர்களே தாங்குவதால் அவர்களே இந்த உலகத்தவர்க்கு அச்சாணி ஆவர்.	பல்வேறு தொழில் புரிகின்ற மக்களின் பசி போக்கிடும் தொழிலாக உழவுத் தொழில் இருப்பதால் அதுவே உலகத்தாரைத் தாங்கி நிற்கும் அச்சாணி எனப்படும்	Agriculturists are (as it were) the linch-pin of the world for they support all other workers who cannot till the soil	The ploughers are the linch-pin of the world; they bearThem up who other works perform, too weak its toils to share	Uzhuvaar Ulakaththaarkku Aaniaq Thaatraadhu	Ezhuvaarai Ellaam Poruththu
1033	உழுதுண்டு வாழ்வாரே வாழ்வார்மற் றெல்லாம்	தொழுதுண்டு பின்செல் பவர்.	They live who live to plough and eat The rest behind them bow and eat	உழவு செய்து அதனால் கிடைத்ததைக் கொண்டு வாழ்கின்றவரே உரிமையோடு வாழ்கின்றவர், மற்றவர் எல்லோரும் பிறரைத் தொழுது உண்டு பின் செல்கின்றவரே.	பிறர்க்காகவும் உழுது தாமும் உண்டு வாழ்பவரே வாழ்பவர். மற்றவர் எல்லாரும் பிறரைத் தொழுது அவர் தருவதை உண்டு தருபவர் பின்னே செல்பவர் ஆவர்.	உழுதுண்டு வாழ்பவர்களே உயர்ந்த வாழ்வினர்; ஏனென்றால், மற்றவர்கள் அவர்களைத் தொழுதுண்டு வாழ வேண்டியிருக்கிறது	They alone live who live by agriculture; all others lead a cringing, dependent life	Who ploughing eat their food, they truly live:The rest to others bend subservient, eating what they give	Uzhudhuntu Vaazhvaare Vaazhvaarmar Rellaam	Thozhudhuntu Pinsel Pavar
1034	பலகுடை நீழலும் தங்குடைக்கீழ்க் காண்பர்	அலகுடை நீழ லவர்.	Who have the shade of cornful crest Under their umbra umbrellas rest	நெல் வளம் உடைய தண்ணளி பொருந்திய உழவர், பல அரசரின் குடை நிழல்களையும் தம் குடையின் கீழ் காணவல்லவர் ஆவர்.	உழுவதால் தானிய வளமும் அதனால் அருளும் உடைய உழவர்கள், தம் ஆட்சியாளர்களின் குடை நிழலை அயலக ஆட்சியாளரின் கீழ் வாழும் மக்களும் விரும்பும்படி செய்வர்.	பல அரசுகளின் நிழல்களைத் தமது குடைநிழலின் கீழ் கொண்டு வரும் வலிமை பெற்றவர்கள் உழவர்கள்	Patriotic farmers desire to bring all other states under the control of their own king	O'er many a land they 'll see their monarch reign,Whose fields are shaded by the waving grain	Palakutai Neezhalum Thangutaikkeezhk Kaanpar	Alakutai Neezha Lavar
